# x, y, z, vx, vy, 0_x, 0_y, 1_x, 1_y
-2.368421,1.315789,0.000000,1.262628,-0.309468,1.200536,0.294968,0.000000,0.000000
-2.368421,1.842105,0.000000,1.229624,-0.421930,1.226898,0.032557,0.000000,0.000000
-2.368421,2.368421,0.000000,1.189393,-0.524732,1.087480,-0.200263,0.000000,0.000000
-2.368421,2.894737,0.000000,1.144252,-0.616999,0.845452,-0.346846,0.000000,0.000000
-2.368421,3.421053,0.000000,1.096317,-0.698633,0.583202,-0.398740,0.000000,0.000000
-2.368421,3.947368,0.000000,1.047346,-0.770108,0.357491,-0.382938,0.000000,0.000000
-2.368421,4.473684,0.000000,0.998688,-0.832240,0.187816,-0.335818,0.000000,0.000000
-2.368421,5.000000,0.000000,0.951302,-0.886016,0.065180,-0.292335,0.000000,0.000000
-1.842105,-5.000000,0.000000,0.904375,0.933866,0.000000,0.000000,0.055638,0.422693
-1.842105,-4.473684,0.000000,0.954846,0.882195,0.000000,0.000000,0.247340,0.520424
-1.842105,-3.947368,0.000000,1.007607,0.821419,0.000000,0.000000,0.545713,0.654161
-1.842105,-3.421053,0.000000,1.061738,0.750141,0.000000,0.000000,1.002450,0.758911
-1.842105,-2.894737,0.000000,1.115810,0.667060,0.000000,0.000000,1.612467,0.741489
-1.842105,-2.368421,0.000000,1.167788,0.571201,0.000000,0.000000,2.252349,0.497251
-1.842105,-1.842105,0.000000,1.215043,0.462245,0.000000,0.000000,2.667567,0.004722
-1.842105,-1.315789,0.000000,1.254507,0.340899,0.000000,0.000000,2.622258,-0.586407
-1.842105,-0.789474,0.000000,1.283058,0.209194,0.162143,1.855877,2.121053,-1.033539
-1.842105,-0.263158,0.000000,1.298084,0.070548,0.754799,1.187666,1.412144,-1.207694
-1.842105,0.263158,0.000000,1.298084,-0.070548,1.412144,1.207694,0.754799,-1.187666
-1.842105,0.789474,0.000000,1.283058,-0.209194,2.121053,1.033539,0.162143,-1.855877
-1.842105,1.315789,0.000000,1.254507,-0.340899,2.622258,0.586407,0.000000,0.000000
-1.842105,1.842105,0.000000,1.215043,-0.462245,2.667567,-0.004722,0.000000,0.000000
-1.842105,2.368421,0.000000,1.167788,-0.571201,2.252349,-0.497251,0.000000,0.000000
-1.842105,2.894737,0.000000,1.115810,-0.667060,1.612467,-0.741489,0.000000,0.000000
-1.842105,3.421053,0.000000,1.061738,-0.750141,1.002450,-0.758911,0.000000,0.000000
-1.842105,3.947368,0.000000,1.007607,-0.821419,0.545713,-0.654161,0.000000,0.000000
-1.842105,4.473684,0.000000,0.954846,-0.882195,0.247340,-0.520424,0.000000,0.000000
-1.842105,5.000000,0.000000,0.904375,-0.933866,0.055638,-0.422693,0.000000,0.000000
-1.315789,-5.000000,0.000000,0.849436,0.984103,0.000000,0.000000,0.012060,0.622629
-1.315789,-4.473684,0.000000,0.902580,0.935601,0.000000,0.000000,0.315717,0.826579
-1.315789,-3.947368,0.000000,0.959271,0.877382,0.000000,0.000000,0.862204,1.184216
-1.315789,-3.421053,0.000000,1.018756,0.807550,0.000000,0.000000,1.882758,1.603121
-1.315789,-2.894737,0.000000,1.079636,0.724146,0.000000,0.000000,3.564512,1.860123
-1.315789,-2.368421,0.000000,1.139667,0.625427,0.000000,0.000000,5.726423,1.522505
-1.315789,-1.842105,0.000000,1.195641,0.510335,0.000000,0.000000,7.406377,0.269653
-1.315789,-1.315789,0.000000,1.243492,0.379113,0.000000,0.000000,7.353890,-1.446243
-1.315789,-0.789474,0.000000,1.278781,0.233923,0.167606,3.413377,5.532272,-2.586123
-1.315789,-0.263158,0.000000,1.297590,0.079121,1.446069,2.306560,3.218119,-2.720984
-1.315789,0.263158,0.000000,1.297590,-0.079121,3.218119,2.720984,1.446069,-2.306560
-1.315789,0.789474,0.000000,1.278781,-0.233923,5.532272,2.586123,0.167606,-3.413377
